created_at,id,text,company_name,company_sector
2021-02-11 16:51:47,1359907998563459074,RT @RebelNewsOnline: Internal emails reveal that The 3M Company was awarded pandemic subsidies within a week after the COVID-19 pandemic wa…,3M Company,Industrials
2021-02-11 16:50:04,1359907565954420740,"In other news:""According to 3M, the leading U.S. producer of N95s, more than 10 million counterfeits have been se… https://t.co/GeYuBQTWKP",3M Company,Industrials
2021-02-11 16:44:37,1359906197495767051,RT @RebelNewsOnline: Internal emails reveal that The 3M Company was awarded pandemic subsidies within a week after the COVID-19 pandemic wa…,3M Company,Industrials
2021-02-11 16:40:40,1359905201507958787,RT @GoliathResource: Goliath announced a non-brokered private placement and a C$2M strategic investment by Sprott which represents an 8.5%…,3M Company,Industrials
2021-02-11 16:32:13,1359903076220600320,RT @RebelNewsOnline: Internal emails reveal that The 3M Company was awarded pandemic subsidies within a week after the COVID-19 pandemic wa…,3M Company,Industrials
2021-02-11 16:31:49,1359902975381110791,"RT @thenewsoncnbc: 3M is working with law enforcement to catch fake mask sellers. So far, 10 million counterfeit masks have been seized by…",3M Company,Industrials
2021-02-11 16:31:21,1359902858682847233,RT @RebelNewsOnline: Internal emails reveal that The 3M Company was awarded pandemic subsidies within a week after the COVID-19 pandemic wa…,3M Company,Industrials
2021-02-11 16:30:11,1359902564880429056,RT @DStiassny: @RishiSunak Working in finance I have yet to be truly effected but I feel for all these company directors and contractors ex…,3M Company,Industrials
2021-02-11 16:20:12,1359900049048817665,"RT @ThirdEyeMedia_: Twinco Capitol, a #fintech based in #Madrid &amp; #Amsterdam with #FemaleFounders has raised €3M in #EquityFunding via @Sil…",3M Company,Industrials
2021-02-11 16:19:55,1359899980237049864,RT @RebelNewsOnline: Internal emails reveal that The 3M Company was awarded pandemic subsidies within a week after the COVID-19 pandemic wa…,3M Company,Industrials
2021-02-10 22:51:20,1359636096729157632,"Robert J Heideman, Senior VP, CTO of SMITH A O CORP - $AOS sold 7336 shares to now own a total of 8723, anomalous o… https://t.co/lWdF4IV1YW",A.O. Smith Corp,Industrials
2021-02-05 20:30:12,1357788637577027588,How to trade A.o.smith Corp $AOS With Risk Controls https://t.co/YFQyG9Qa91 https://t.co/3PP2wscPcP,A.O. Smith Corp,Industrials
2021-02-11 15:28:01,1359886916422950912,"#jobs #opportunity in Miami, FL - Regional Account Manager - Pediatric Nutrition - Abbott Nutrition @ Abbott Labora… https://t.co/y5Z6yvZYzg",Abbott Laboratories,Health Care
2021-02-11 12:00:06,1359834594028183560,"National Sales Director - Workplace: Abbott Laboratories, USA (Missouri). https://t.co/7Km5tEoSEb #MBA #jobs #USA",Abbott Laboratories,Health Care
2021-02-11 09:04:27,1359790390963040265,RT @earningsflyinc: Abbott Laboratories current quarter revenue growth YoY of 28.70% ranked 780 out of 5460 companies in our database. ht…,Abbott Laboratories,Health Care
2021-02-11 09:03:18,1359790103288303616,Abbott Laboratories current quarter revenue growth YoY of 28.70% ranked 780 out of 5460 companies in our database.… https://t.co/PF8ZXGabiD,Abbott Laboratories,Health Care
2021-02-11 04:42:14,1359724402791825416,"Global mHealth App Market Report 2021-2025: Abbott Laboratories, Johnson and Johnson ...: #mhealth “The Global mHea… https://t.co/LHBrHktecm",Abbott Laboratories,Health Care
2021-02-11 01:54:04,1359682082759450625,Mr Abbott Laboratories over here be stealing my work environment its all good though I am taking him about how to b… https://t.co/4wI9cz0Har,Abbott Laboratories,Health Care
